"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
21.01.2022;10987774;9975052;324752;692;49513;24719;49513;692
24.08.2022;19221602;18370612;383758;72;40231;32876;40231;72
15.03.2022;17412919;15704022;361902;558;36678;118372;36678;558
31.08.2022;19528969;18596634;384346;92;46321;39054;46321;92
18.12.2020;2791220;2228633;49762;611;28552;26093;28552;611
27.10.2021;8352601;7242735;233898;1123;36582;29151;36582;1123
03.11.2020;1673686;1251364;28828;355;18648;15331;18648;355
26.09.2021;7420913;6604604;203900;805;22498;13671;22498;805
26.11.2020;2187990;1685492;38062;524;25487;25073;25487;524
06.11.2021;8755930;7535172;245635;1188;41335;29201;41335;1188
25.11.2020;2162503;1660419;37538;507;23675;25748;23675;507
16.09.2021;7214520;6452398;195835;794;19594;17326;19594;794
04.02.2022;12452765;10449181;334039;682;168201;58449;168201;682
06.08.2022;18692396;18030626;382697;46;19974;10743;19974;46
01.03.2022;16495369;13748465;352446;786;97333;172813;97333;786
18.09.2022;20439095;19387036;386045;101;56751;42198;56751;101
14.01.2022;10747125;9809300;319911;739;23820;24952;23820;739
07.11.2022;21468271;20860277;390649;61;4421;4944;4421;61
14.11.2021;9070674;7784585;255386;1219;38823;29821;38823;1219
23.10.2022;21372935;20719106;389537;88;8672;10578;8672;88
10.01.2021;3401954;2778889;61837;456;22851;24080;22851;456
28.07.2021;6195232;5547529;156178;798;22420;20579;22420;798
16.02.2021;4099323;3624663;80979;459;13233;17627;13233;459
20.08.2021;6705523;5983405;174485;785;20992;20351;20992;785
24.01.2021;3719400;3131760;69462;491;21127;22445;21127;491
10.07.2021;5758300;5182837;142253;752;25082;17750;25082;752
02.02.2021;3884730;3340545;74158;539;16643;22372;16643;539
07.09.2021;7047880;6302250;188785;795;17425;17243;17425;795
23.12.2021;10318650;9139166;301271;1002;25667;41645;25667;1002
17.11.2022;21520021;20925972;391273;61;5680;6735;5680;61
06.12.2021;9833749;8530476;282462;1184;32136;28070;32136;1184
13.10.2022;21264080;20531754;388610;101;15477;30793;15477;101
20.06.2020;576952;334592;8002;161;7889;10186;7889;161
29.05.2021;5053748;4670484;120807;401;9289;9250;9289;401
20.08.2020;942106;755513;16099;110;4785;6090;4785;110
13.06.2021;5208687;4801335;126430;357;14723;9166;14723;357
26.04.2020;80949;6767;743;62;6361;517;6361;62
13.07.2022;18472239;17897428;381711;42;3929;3363;3929;42
06.06.2022;18355200;17767753;379584;64;3349;3492;3349;64
22.12.2022;21743302;21140943;393220;54;7451;9243;7451;54
08.06.2020;476658;230688;5971;112;8985;3957;8985;112
14.05.2020;252245;53530;2305;93;9974;5527;9974;93
29.06.2022;18427133;17854962;381056;54;3028;3680;3028;54
20.06.2022;18400927;17825397;380517;54;2667;2723;2667;54
04.12.2022;21617601;21018980;392231;55;6598;4589;6598;55
21.05.2020;317554;92681;3099;127;8849;7289;8849;127
12.07.2020;727162;501061;11335;130;6615;3615;6615;130
19.05.2021;4965676;4581787;116965;390;7920;9561;7920;390
29.07.2020;828990;620333;13673;169;5475;8116;5475;169
23.06.2021;5368513;4902110;130895;548;17594;12660;17594;548
19.10.2020;1415316;1075904;24366;179;15982;5328;15982;179
06.04.2021;4597868;4220035;101106;389;8328;8902;8328;389
27.08.2020;975576;792561;16804;121;4711;6411;4711;121
30.03.2021;4536820;4155996;98442;409;8277;9588;8277;409
01.04.2020;2777;190;24;7;440;69;440;7
30.03.2022;17823648;16788291;368377;352;20145;51085;20145;352
14.05.2022;18255337;17640979;377571;107;5047;7378;5047;107
22.03.2020;367;16;0;0;61;0;61;0
21.04.2022;18110861;17437610;374368;197;8875;14182;8875;197
22.04.2022;18119862;17451090;374563;195;9001;13480;9001;195
05.10.2020;1225889;982324;21475;117;10888;3181;10888;117
24.04.2021;4753789;4380468;107900;399;8828;9254;8828;399
10.09.2020;1046370;862373;18263;128;5363;5915;5363;128
12.03.2021;4370617;3973029;91220;486;9794;13496;9794;486
02.10.2022;21049027;20140608;387468;96;30085;46992;30085;96
09.12.2021;9925806;8637861;286004;1181;30209;35794;30209;1181
28.11.2022;21579812;20986290;391890;50;5048;4262;5048;50
20.12.2021;10241812;9014980;298222;1019;27022;30059;27022;1019
25.08.2021;6804910;6073157;178423;809;19536;19654;19536;809
07.02.2021;3967281;3456210;76661;432;16048;19884;16048;432
23.07.2021;6078522;5450004;152296;795;23811;22547;23811;795
19.01.2021;3612800;3002026;66623;586;21734;23262;21734;586
15.08.2021;6600836;5884316;170499;816;21624;16426;21624;816
01.03.2021;4257650;3823074;86455;333;11571;11277;11571;333
02.08.2021;6312185;5640783;160137;785;23508;14893;23508;785
28.12.2020;3078035;2471309;55265;487;27787;20480;27787;487
20.10.2022;21345154;20677821;389266;90;10067;18352;10067;90
25.11.2021;9468189;8164826;269057;1238;33796;38450;33796;1238
10.11.2022;21483520;20884515;390835;61;5594;7623;5594;61
03.01.2022;10554309;9548076;311353;835;16343;24037;16343;835
21.09.2022;20588102;19537543;386341;107;53045;59718;53045;107
18.02.2022;15020573;12026844;343957;784;180071;198369;180071;784
03.08.2022;18636741;18000314;382560;43;14638;10266;14638;43
15.02.2022;14480596;11470925;341635;704;166631;137881;166631;704
21.09.2021;7313851;6526111;199808;812;19179;15437;19179;812
12.11.2020;1858568;1388168;32032;439;21608;18811;21608;439
01.11.2021;8554192;7381726;239693;1155;40402;23187;40402;1155
09.12.2020;2541199;2007792;44718;559;26190;26266;26190;559
09.10.2021;7746718;6840845;215453;968;29362;21049;29362;968
29.10.2020;1581693;1186041;27301;366;17717;14740;17717;366
14.10.2021;7892980;6937756;220314;985;31299;21670;31299;985
23.12.2020;2933753;2343967;52461;549;27250;24447;27250;549
11.09.2022;20066610;19061006;385348;86;52829;37288;52829;86
12.03.2022;17290197;15351778;360215;630;48154;156851;48154;630
13.08.2022;18852976;18121135;383071;60;28694;16874;28694;60
24.01.2022;11173300;10045336;326767;655;65109;21714;65109;655
09.03.2021;4342474;3932177;89809;336;9445;9931;9445;336
21.09.2020;1109595;911973;19489;71;6196;2616;6196;71
27.04.2021;4779425;4402678;108980;392;8053;8039;8053;392
24.09.2020;1128836;929829;19948;149;6595;6130;6595;149
05.05.2022;18211178;17578659;376560;139;5011;8723;5011;139
08.04.2022;17969431;17143630;371169;280;14311;37684;14311;280
25.03.2020;658;29;2;2;163;7;163;2
19.05.2022;18278617;17670628;378072;97;4927;5952;4927;97
25.03.2022;17715390;16545758;366618;398;25382;61860;25382;398
12.04.2020;15759;1291;130;24;2175;246;2175;24
19.03.2021;4437938;4049373;94267;443;9699;12337;9699;443
30.08.2020;990326;806982;17093;68;4980;2599;4980;68
17.04.2021;4693469;4319389;105193;398;9321;8832;9321;398
16.10.2020;1369313;1056582;23723;232;15150;8485;15150;232
04.07.2021;5610941;5068901;137925;663;25142;15484;25142;663
26.07.2020;812485;600250;13269;77;5765;3110;5765;77
08.05.2021;4871843;4488615;112992;370;8329;8255;8329;370
15.07.2020;746369;523249;11770;156;6422;10424;6422;156
01.06.2020;414878;175877;4855;162;9035;3994;9035;162
17.12.2022;21708852;21103330;392949;58;7531;7269;7531;58
15.06.2022;18385098;17806097;380203;66;2718;4528;2718;66
